,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
4220,5.0,2.0,5.0,Condo,123,West Town,41.91298,-87.68764,Entire home/apt,4,0.23,$100 - $300
4221,4.84,1.0,1.0,Rental,150,Lake View,41.941626,-87.6525329,Entire home/apt,0,1.59,$100 - $300
4222,4.9,2.0,2.0,Rental,300,West Town,41.90579,-87.69392,Entire home/apt,31,1.39,>$300
4223,4.91,3.0,2.0,Condo,100,Near North Side,41.90755,-87.64107,Entire home/apt,75,3.69,$100 - $300
4224,4.89,1.0,1.0,Condo,150,Lower West Side,41.84992,-87.67704,Entire home/apt,18,0.8,$100 - $300
4225,4.84,1.0,1.0,Rental,100,Avondale,41.93389,-87.70071,Entire home/apt,92,4.18,$100 - $300
4226,4.98,2.0,5.0,Condo,228,West Town,41.89605,-87.67311,Entire home/apt,41,1.82,$100 - $300
4227,4.96,1.0,1.0,Serviced,180,Lincoln Park,41.91889,-87.63966,Entire home/apt,53,2.36,$100 - $300
4228,4.41,4.0,2.0,Home,165,Washington Heights,41.70678,-87.64955,Entire home/apt,56,2.46,$100 - $300
4229,4.81,1.0,1.0,Condo,182,Lincoln Park,41.9123,-87.6475,Entire home/apt,64,2.82,$100 - $300
